"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년","2학년","3학년","특수학급","순회학급","학급수(계)","학생수(계)","학급당학생수"
"충청남도교육청","충청남도서산교육지원청","충청남도 서산시","S120000940","음암중학교","03","공립","N","","2","2","2","1","0","7(1)","134(3)","19.1"
"충청남도교육청","충청남도서산교육지원청","충청남도 서산시","S120000941","인지중학교","03","공립","N","","2","2","3","1","0","8(1)","154(6)","19.3"
"충청남도교육청","충청남도서산교육지원청","충청남도 서산시","S120000943","팔봉중학교","03","사립","N","","2","2","3","0","0","7(0)","157(0)","22.4"
"충청남도교육청","충청남도서산교육지원청","충청남도 서산시","S120000944","해미중학교","03","공립","N","","3","3","3","1","0","10(1)","190(5)","19"
"충청남도교육청","충청남도서천교육지원청","충청남도 서천군","S120000998","동강중학교","03","사립","N","","2","2","2","0","0","6(0)","100(0)","16.7"
"충청남도교육청","충청남도서천교육지원청","충청남도 서천군","S120000999","비인중학교","03","공립","N","","1","1","1","1","0","4(1)","19(3)","4.8"
"충청남도교육청","충청남도서천교육지원청","충청남도 서천군","S120001000","서림여자중학교","03","사립","N","","1","1","1","0","0","3(0)","65(0)","21.7"
"충청남도교육청","충청남도서천교육지원청","충청남도 서천군","S120001001","서면중학교","03","공립","N","","1","1","1","1","0","4(1)","42(1)","10.5"
"충청남도교육청","충청남도서천교육지원청","충청남도 서천군","S120001002","서천여자중학교","03","공립","N","","2","2","2","1","0","7(1)","139(2)","19.9"
"충청남도교육청","충청남도서천교육지원청","충청남도 서천군","S120001003","서천중학교","03","공립","N","","3","2","3","1","0","9(1)","181(5)","20.1"
"충청남도교육청","충청남도서천교육지원청","충청남도 서천군","S120001006","장항중학교","03","공립","N","","3","3","3","1","0","10(1)","232(7)","23.2"
"충청남도교육청","충청남도서천교육지원청","충청남도 서천군","S120001008","판교중학교","03","사립","N","","1","1","1","1","0","4(1)","47(5)","11.8"
"충청남도교육청","충청남도서천교육지원청","충청남도 서천군","S120001009","한산중학교","03","공립","N","","1","1","1","1","0","4(1)","19(2)","4.8"
"충청남도교육청","충청남도보령교육지원청","충청남도 보령시","S120001053","남포중학교","03","공립","N","","1","1","1","1","0","4(1)","31(5)","7.8"
"충청남도교육청","충청남도보령교육지원청","충청남도 보령시","S120001054","대명중학교","03","사립","N","","5","5","5","0","0","15(0)","362(0)","24.1"
"충청남도교육청","충청남도보령교육지원청","충청남도 보령시","S120001055","대천서중학교","03","공립","N","","1","1","1","1","0","4(1)","53(3)","13.3"
"충청남도교육청","충청남도보령교육지원청","충청남도 보령시","S120001056","대천여자중학교","03","공립","N","","5","6","6","1","0","18(1)","454(4)","25.2"
"충청남도교육청","충청남도보령교육지원청","충청남도 보령시","S120001057","대천중학교","03","공립","N","","7","6","7","2","0","22(2)","515(12)","23.4"
"충청남도교육청","충청남도보령교육지원청","충청남도 보령시","S120001058","미산중학교","03","공립","N","","1","1","1","1","0","4(1)","34(3)","8.5"
"충청남도교육청","충청남도보령교육지원청","충청남도 보령시","S120001059","보령중학교","03","공립","N","","1","1","1","1","0","4(1)","51(4)","12.8"
"충청남도교육청","충청남도보령교육지원청","충청남도 보령시","S120001060","웅천중학교","03","공립","N","","1","1","1","1","0","4(1)","58(3)","14.5"
"충청남도교육청","충청남도보령교육지원청","충청남도 보령시","S120001063","천북중학교","03","공립","N","","1","1","1","1","0","4(1)","20(2)","5"
"충청남도교육청","충청남도보령교육지원청","충청남도 보령시","S120001064","청라중학교","03","공립","N","","1","2","2","1","0","6(1)","107(1)","17.8"
"충청남도교육청","충청남도보령교육지원청","충청남도 보령시","S120001066","한내여자중학교","03","공립","N","","5","6","5","1","0","17(1)","430(3)","25.3"
"충청남도교육청","충청남도태안교육지원청","충청남도 태안군","S120001124","근흥중학교","03","공립","N","","1","1","1","0","0","3(0)","21(0)","7"
"충청남도교육청","충청남도태안교육지원청","충청남도 태안군","S120001125","만리포중학교","03","공립","N","","1","1","1","0","0","3(0)","14(0)","4.7"
"충청남도교육청","충청남도태안교육지원청","충청남도 태안군","S120001126","남면중학교","03","공립","N","","1","1","1","1","0","4(1)","35(1)","8.8"
"충청남도교육청","충청남도태안교육지원청","충청남도 태안군","S120001128","안면중학교","03","공립","N","","2","2","2","1","0","7(1)","113(1)","16.1"
"충청남도교육청","충청남도태안교육지원청","충청남도 태안군","S120001129","원이중학교","03","공립","N","","2","3","2","1","0","8(1)","158(7)","19.8"
"충청남도교육청","충청남도태안교육지원청","충청남도 태안군","S120001132","태안여자중학교","03","공립","N","","5","4","4","1","0","14(1)","358(7)","25.6"
"충청남도교육청","충청남도태안교육지원청","충청남도 태안군","S120001133","태안중학교","03","공립","N","","5","5","4","2","0","16(2)","353(12)","22.1"
"충청남도교육청","충청남도홍성교육지원청","충청남도 홍성군","S120001195","갈산중학교","03","공립","N","","1","1","1","1","0","4(1)","33(1)","8.3"
"충청남도교육청","충청남도홍성교육지원청","충청남도 홍성군","S120001198","광천중학교","03","공립","N","","2","2","2","1","0","7(1)","126(2)","18"
"충청남도교육청","충청남도홍성교육지원청","충청남도 홍성군","S120001201","금마중학교","03","공립","N","","1","1","1","1","0","4(1)","54(6)","13.5"
"충청남도교육청","충청남도홍성교육지원청","충청남도 홍성군","S120001202","서해삼육중학교","03","사립","N","","1","1","1","0","0","3(0)","82(0)","27.3"
"충청남도교육청","충청남도홍성교육지원청","충청남도 홍성군","S120001204","홍동중학교","03","공립","N","","2","2","2","1","0","7(1)","106(5)","15.1"
